character_id,activity_type,duration_hours,gold_earned,xp_earned
1,Trading,2.6939390707206994,19.594076071957684,868.5492923004805
1,Questing,6.650323002198444,19.266239896904118,166.80542395302493
1,Questing,2.245831786370329,25.759906493199566,52.17968732054407
1,Exploration,2.7676044741086936,23.562331480637894,561.1985774157002
1,Combat,3.9642628383072376,7.314425697901357,61.66854692731326
2,Questing,3.5850872401837424,0,70.39325284946132
3,Trading,2.3065241892457684,0,43.06599532030285
3,Combat,4.148273687509505,25.43605412082299,67.88963211215405
3,Trading,4.534910845805321,1.667643239622625,111.36634729854872
3,Exploration,1.257493841697569,9.00099310512442,522.7234079788058
3,Questing,1.5017993906661,0,112.64440238611112
4,Questing,2.248671576825956,0,473.5618806287701
4,Trading,1.7784138183661162,38.34862165303602,213.83140645827856
4,Trading,3.1273764250539258,35.96360723618933,78.61789281087565
4,Combat,2.0349895166103784,122.3455100420738,328.41846138092757
4,Combat,3.5297188792597702,34.342063924760666,392.07789143646465
5,Questing,0.7497775305359311,20.52198564460511,30.269832041456066
6,Crafting,4.142471563983184,3.523702943374902,153.0384014743441
6,Questing,1.8878598690737491,0,294.54818811917886
6,Combat,1.682614777024907,34.54155083034355,170.5352281615378
6,Exploration,0.9610200548462714,0,103.87448696553537
7,Questing,4.734314303953296,66.77476425091189,166.9321898294667
7,Combat,2.316237743015505,6.40151128728207,26.2871600428438
7,Trading,3.48132960640239,50.57764685708372,42.47683536996525
7,Combat,3.080154146609733,89.86676393593025,54.540682142418405
8,Exploration,2.8764401372832076,22.574331142672538,12.312330503661826
9,Combat,2.690403969832306,8.197166134891802,89.67385100872073
9,Questing,6.677080179282209,6.549262451508466,268.77180603462665
10,Combat,2.115405983294193,36.12841425599268,123.55168785467474
10,Combat,2.3818169309821515,3.671276660176849,84.01450844611124
10,Combat,2.684774117686719,0,193.44393748405102
11,Exploration,2.9378363412409594,2.4091142594339305,130.17207773993573
11,Combat,1.2649063990630667,18.213308196549935,385.35802986454473
11,Exploration,1.4140793769365996,0,266.5389664615496
11,Combat,1.9795718871196748,27.44509453630443,145.42344156936193
11,Questing,3.812605830938924,12.360065203824805,50.48876655446333
12,Combat,3.038750910872608,2.8723169665808905,272.1278247578697
12,Crafting,2.1236836642903016,3.2716774301078373,72.60395028243161
13,Questing,1.5130781142960614,13.784126019268522,75.1165712097403
13,Trading,3.027115285681895,0,14.889913217186292
13,Questing,3.938807092896123,3.4197640842301906,42.456190486326605
13,Combat,2.8031012944883598,100.92920614415908,74.80851392728924
13,Questing,6.344024277508978,30.506219655002916,129.03092540232487
14,Exploration,2.199548464123466,67.99286331118691,361.79308960490283
14,Questing,2.850355244447484,12.995357347220269,131.20196417789427
14,Exploration,4.19296772456364,0,82.75173193958176
15,Combat,0.8186661810066438,8.591686137256398,84.47374267586213
15,Trading,2.581817578787935,5.839592613453029,59.329455579594466
16,Questing,4.633679334346051,0,34.028286704643165
16,Questing,3.3649303737787752,0,148.36548873465122
16,Questing,2.4544465798121022,7.082009031366553,842.2461765037267
16,Combat,4.632456758911005,28.614584596543892,219.0565821800403
17,Questing,5.059675682048908,0,694.9484285440553
17,Exploration,3.0084120756559622,13.152348604349834,521.9110896564817
17,Combat,2.4437387146588048,24.88609129089574,92.53361577143089
18,Combat,5.593584367082233,4.1103230427988295,127.28428507655475
18,Exploration,4.236966561148918,34.412179036851164,38.76738844672404
18,Exploration,2.150097660955794,20.39323013789125,157.97465253940373
18,Crafting,4.6720212725945975,18.491481166286025,380.200379532904
18,Combat,1.961621957511936,34.464902501871364,198.5940091195561
19,Questing,1.2692073487447726,0,20.08118342573451
19,Exploration,4.010013455169769,15.011937109025897,47.27814985468086
19,Combat,3.8681473165418,0,261.2332174205344
19,Questing,5.293737637235914,12.862804575003482,65.23572905247406
20,Combat,8.03118419378443,61.25801833472207,69.78383871144527
20,Combat,2.6318720404041667,6.588984341461815,801.5751107395615
20,Combat,2.9851241049554007,385.2419741219539,136.64881771217864
20,Questing,2.816316212144431,23.85759359152776,265.62313172815834
21,Questing,1.804038518594996,27.666152040907065,496.60966913665027
21,Crafting,2.091628704113331,31.932116092334084,51.69287519245548
21,Questing,3.854190359261043,77.61711024780843,179.67727182781903
21,Trading,6.421140580951081,28.555748389562947,52.71142854522478
22,Combat,2.9282809385139017,4.991764637901255,95.80043861603275
22,Questing,1.730584411880026,0,169.89174225998426
22,Exploration,1.7401694685402351,9.065339953784164,34.69464584705283
22,Exploration,3.611108174350718,14.554319679204925,76.77397187994687
22,Questing,1.834693895403016,8.623662646266775,22.406182478137595
23,Questing,1.347370760315258,25.643484891198685,242.98971759793199
23,Combat,1.236230885886683,0,215.4543949414015
23,Questing,3.0334916350308667,43.00068164286178,200.5301216572961
24,Crafting,2.884206413470688,21.905827149579558,14.69515537531387
24,Combat,2.6797738057914735,4.796099102629168,248.78501468178584
24,Questing,1.3682515703410532,33.5694448812748,45.735464377293006
24,Combat,3.980166604415623,7.754519363222761,44.80275868715206
24,Exploration,0.8126977062485128,24.312059082017935,142.58194527897842
25,Questing,3.5320499318535834,1.3988696356382158,546.8467460716057
26,Exploration,1.294625576147713,0,155.7704083278114
27,Questing,2.051124325285507,0,93.14277848501533
27,Exploration,2.0884213211070897,15.087912920874013,133.91952542086327
27,Questing,6.146805073193608,0,74.96039021704642
27,Exploration,2.3872748155173937,7.62216462201852,143.17261319757128
27,Questing,2.4664854676525456,11.019928180676498,132.92037085735626
28,Questing,1.4926901621187434,0,403.22477579389454
28,Questing,7.345317291810534,22.747955627561215,89.31403919383695
29,Questing,2.4114093337312963,26.992974614290286,164.12048922034754
30,Questing,1.8606882492681056,6.753090826107854,203.8749528356149
31,Crafting,2.575388074381747,9.017924139618296,181.18017192209126
31,Crafting,1.5277391465237815,9.108692664514463,94.46113640232471
31,Questing,1.3511312328625955,196.79317787723048,91.896822776851
32,Combat,2.43618642601394,6.184623593045016,131.81941408273119
32,Combat,1.9099179490390734,37.900782690819824,137.57913222071858
33,Questing,2.194046787038139,6.997425946527256,278.2574444758614
33,Exploration,2.6315149447369066,15.656852599638693,124.35307032502789
33,Questing,3.4538888566941233,29.41514264565715,45.58965893066993
33,Combat,1.0746204566599067,20.73060264107811,79.47530444248014
33,Combat,5.2729384861813555,49.97863012750536,145.216250565489
34,Combat,1.8269504086895534,71.11604590044267,699.3902164536621
35,Combat,3.727263217947108,20.551797288623415,28.840574522746987
36,Questing,4.626174109014173,0,26.461580230728543
36,Questing,4.337790873264526,16.36901702768596,50.027790877934095
36,Questing,2.5233208410592334,107.78791151226078,123.20631997600351
37,Questing,1.9240349605912577,74.08150814366704,548.5216356580729
37,Combat,1.8775575780966494,16.515536621549387,215.00642590164736
37,Crafting,2.1902673470193905,30.88082401403439,159.1297529986894
37,Questing,2.158914390068724,0,211.34568163098666
37,Questing,3.406673273665164,0,27.34223282243407
38,Questing,4.25025549386707,86.52835566376484,130.2099045764982
38,Combat,3.5335512787752372,31.061805735251248,202.8063499899719
39,Combat,1.9151760338055428,25.081802523067562,326.00264365079363
39,Combat,1.516615408958834,84.6690156487697,30.76093914003579
39,Questing,1.3408808411808852,23.78782342888504,464.06024687344467
40,Questing,11.481220824786417,30.96580877822578,153.32488149384162
40,Trading,1.7563444449650225,0,79.28737252834014
40,Trading,4.25631417301026,0,75.08412503222053
40,Crafting,3.751866844647977,26.02761309269855,68.4383703255614
41,Combat,3.1187861151147613,6.223574045228183,289.4726017150324
41,Questing,1.3590018888711444,35.38377624310802,778.8060267605115
42,Questing,1.0889006194461202,48.97744286849853,179.99843022885884
42,Combat,3.6364476356711113,24.360733908713005,87.03897075503258
43,Questing,2.0922090783292506,21.56066888497529,518.6708095787624
44,Combat,6.173778109614038,0,65.76962662119324
44,Combat,1.7295365679583077,21.301890534164727,183.47938200101103
45,Questing,2.3306204410645774,32.218556317257075,10.462939474317603
46,Questing,3.5420791595603616,10.795482349191065,31.283967493468637
46,Combat,7.7115936436712005,40.91350322004186,26.113748917940104
46,Crafting,2.3838539717082607,8.91178222314584,75.48481495965194
46,Questing,2.4250240227396,3.3690627480804998,27.7631282878612
46,Combat,3.8073220285163942,11.278551155119969,35.196791249771245
47,Questing,2.31881666468985,0,236.2036371763958
47,Questing,3.835400549940344,6.089775272219917,36.5447443493298
47,Crafting,2.040195687296994,7.686887495672831,131.38045606660688
47,Trading,2.5834012766241963,3.821813047510589,199.63501151068797
47,Questing,3.628003173805962,0,11.365452630102155
48,Combat,7.645130602944823,0,762.5371914317383
48,Combat,3.4500140409480506,0,54.34573341833993
49,Questing,3.2376671518276026,0,186.53666428982206
49,Questing,2.86784809887396,26.20142777183549,104.79384057127893
49,Exploration,1.6497379329219655,48.84618052426376,230.8294498305999
50,Combat,1.968842741941578,29.18090232426788,302.504561140394
51,Questing,1.9680582648398468,57.015524506998645,103.91186206484552
51,Questing,2.9007596454046785,28.792833198656616,232.68012929029504
52,Questing,3.594726823799214,5.721257282812859,142.8305453239961
52,Combat,7.2100777145091,44.922165562188624,335.12518397682584
52,Questing,2.034468816963668,1.4771312132094574,29.10536109700572
53,Exploration,2.7669567561523043,31.32539109902752,106.64613246875483
53,Questing,2.7862497203698666,0,10.231968799413103
53,Combat,3.6454187520279726,13.244080510240579,1862.5412535018215
53,Questing,1.5238731092834332,3.284779797837955,278.5826515853667
53,Questing,3.7063511397661726,0,403.31779276207806
54,Combat,2.583215784196414,49.319943024410335,322.0633622589359
54,Combat,2.3303995846683496,21.990297224907277,329.1317601543921
54,Crafting,5.361055551880796,13.971622323389575,557.6541613055251
55,Questing,3.93975344906742,0,84.4116630148695
56,Questing,2.4657267755915324,1.8429661977006806,629.9163119580272
56,Exploration,2.221845883431572,15.81477304694967,63.38674200559108
56,Questing,3.5918991411983097,0,187.85938842394796
56,Exploration,3.437910568228422,12.0606772328848,247.4020402364334
57,Questing,1.4844774493800024,14.323792892032712,151.47359886387113
58,Combat,4.175161160383328,0,87.6212060286673
58,Questing,2.2210344324702533,20.891711232715462,108.21006642021774
58,Combat,8.89062030687677,4.266142639218686,318.4412715829303
58,Trading,3.086568400820653,8.182390689316009,1317.5367422140985
