season,team_id,team_name,player_id,team_budget,market_size,conference,total_team_wins,playoff_appearance,player_age,position,height_cm,years_in_league,player_salary,games_played,points_per_game,assists_per_game,rebounds_per_game,performance_score,career_trajectory,injury_count,injury_impact,performance_narrative,championship_potential
2018,1,City A Hawks,1,109934283.06022465,Large,Western,30,0,25,Forward,198.61735698828815,2,1905378.998102028,23,5.355859499830337,2.0347624071039907,5.4924944595222085,4.400520859919994,-1,3,0.30000000000000004,"A Forward with 5.4 PPG, showing declining potential",0
2018,1,City A Hawks,2,109934283.06022465,Large,Western,30,0,24,Forward,195.36582307187538,11,1534270.246429743,57,-3.0627450634680073,4.9007393647938065,7.449335242853982,2.479924356907133,-1,1,0.1,"A Forward with -3.1 PPG, showing declining potential",0
2018,1,City A Hawks,3,109934283.06022465,Large,Western,30,0,34,Center,184.7612400238414,13,2222078.901564743,54,6.160117490284614,2.9510896450118684,6.066653951367297,5.1693700750275955,-1,4,0.4,"A Center with 6.2 PPG, showing declining potential",0
2018,1,City A Hawks,4,109934283.06022465,Large,Western,30,0,37,Center,193.99746149894088,4,2947439.821046639,1,6.991466938853016,6.704556369017876,4.9595083257861985,6.295806183982429,-1,2,0.2,"A Center with 7.0 PPG, showing declining potential",0
2018,1,City A Hawks,5,109934283.06022465,Large,Western,30,0,32,Guard,189.42289071044098,3,2566112.826781041,5,6.477732748117048,3.6459995945565953,0.8197491773818886,3.9308177308283647,-1,4,0.4,"A Guard with 6.5 PPG, showing declining potential",0
2018,1,City A Hawks,6,109934283.06022465,Large,Western,30,0,36,Forward,178.2166575317629,3,956103.591765165,13,5.464067099263027,5.3772514528612225,7.356596373494735,6.005781187611998,-1,4,0.4,"A Forward with 5.5 PPG, showing declining potential",0
2018,1,City A Hawks,7,109934283.06022465,Large,Western,30,0,34,Guard,226.56010091272043,1,4340746.334103047,59,15.354925935086845,0.7388953906368663,5.403286647884066,7.984624985591018,-1,4,0.4,"A Guard with 15.4 PPG, showing declining potential",0
2018,1,City A Hawks,8,109934283.06022465,Large,Western,30,0,19,Guard,205.82122794713038,2,2887748.4595933575,34,5.803912383886807,2.3815752482975707,5.993790294210692,4.834174616307202,-1,1,0.1,"A Guard with 5.8 PPG, showing declining potential",0
2018,1,City A Hawks,9,109934283.06022465,Large,Western,30,0,19,Center,209.7554512712236,6,3212172.342133126,43,16.167484022715286,4.669590838460857,5.889684152986912,9.634776106520444,-1,0,0.0,"A Center with 16.2 PPG, showing declining potential",0
2018,1,City A Hawks,10,109934283.06022465,Large,Western,30,0,21,Guard,190.6623715908795,13,2784208.1876539383,26,-3.0987255204487223,4.643805008750448,5.261141204714514,1.7319936558599995,-1,3,0.30000000000000004,"A Guard with -3.1 PPG, showing declining potential",0
2018,1,City A Hawks,11,109934283.06022465,Large,Western,30,0,22,Forward,197.00992649534132,4,1465583.5463264948,42,2.5247306459283205,6.245840998682748,7.471199230925424,5.12500432725378,-1,3,0.30000000000000004,"A Forward with 2.5 PPG, showing declining potential",0
2018,1,City A Hawks,12,109934283.06022465,Large,Western,30,0,20,Forward,205.01448331524804,5,3158186.652932028,27,7.351198981164806,4.026534866226712,5.291232648044121,5.7358098467471725,-1,1,0.1,"A Forward with 7.4 PPG, showing declining potential",0
2018,1,City A Hawks,13,109934283.06022465,Large,Western,30,0,25,Forward,209.68644990532889,0,2849921.204062349,76,3.4433788712444535,-2.31035209512694,6.036553831666299,2.495212069459589,-1,4,0.4,"A Forward with 3.4 PPG, showing declining potential",0
