DATE,NYXRSA
1987-01-01,74.678440161608
1987-02-01,76.043687003134
1987-03-01,77.237075313105
1987-04-01,78.281526875582
1987-05-01,79.675330593957
1987-06-01,80.839801590225
1987-07-01,81.695066988832
1987-08-01,82.220057957436
1987-09-01,82.38397594988001
1987-10-01,83.1564060951
1987-11-01,83.67733133226301
1987-12-01,84.501347807948
1988-01-01,84.32173033799
1988-02-01,84.491178585526
1988-03-01,84.47672472229999
1988-04-01,84.69031883261
1988-05-01,84.762427084387
1988-06-01,84.59877172814001
1988-07-01,84.503519630325
1988-08-01,84.593564561931
1988-09-01,84.576220953035
1988-10-01,84.479214867618
1988-11-01,84.490912774117
1988-12-01,84.37502816418801
1989-01-01,84.48241826793101
1989-02-01,84.26598824970701
1989-03-01,84.194661618621
1989-04-01,83.880870601963
1989-05-01,83.49424862531299
1989-06-01,82.94658527935199
1989-07-01,82.171286374768
1989-08-01,81.93614834383
1989-09-01,81.537176077352
1989-10-01,81.788161142493
1989-11-01,81.550345495022
1989-12-01,81.343846806456
1990-01-01,81.03500328091799
1990-02-01,80.982861072749
1990-03-01,80.80771442570699
1990-04-01,80.213069716589
1990-05-01,79.55356747068599
1990-06-01,78.93322447063001
1990-07-01,78.295666051317
1990-08-01,77.55018300435
1990-09-01,76.67560321577
1990-10-01,76.312268991308
1990-11-01,75.88182779919501
1990-12-01,75.616307367539
1991-01-01,74.74340913135299
1991-02-01,74.109524873599
1991-03-01,73.579182833191
1991-04-01,73.054447275017
1991-05-01,73.087625083292
1991-06-01,73.457914387464
1991-07-01,73.91089357133
1991-08-01,74.24296782257599
1991-09-01,74.386948951975
1991-10-01,74.563429989875
1991-11-01,74.617136240718
1991-12-01,74.768017506565
1992-01-01,74.757148544369
1992-02-01,74.815591167371
1992-03-01,74.95549492548801
1992-04-01,75.16757144386999
1992-05-01,75.151596794782
1992-06-01,75.056733825086
1992-07-01,74.963974260055
1992-08-01,75.10610663539
1992-09-01,75.08589931977299
1992-10-01,75.052895301649
1992-11-01,75.19315221905799
1992-12-01,75.401211162707
1993-01-01,75.740987269896
1993-02-01,75.887380715768
1993-03-01,75.98770285146401
1993-04-01,76.068588700716
1993-05-01,76.143127402732
1993-06-01,76.330199924209
1993-07-01,76.316949817936
1993-08-01,76.275551769782
1993-09-01,76.333497243493
1993-10-01,76.501850486559
1993-11-01,76.73839144388
1993-12-01,76.803945100463
1994-01-01,76.84823089471999
1994-02-01,76.910181231224
1994-03-01,77.239517703974
1994-04-01,77.59430173003
1994-05-01,77.967216750843
1994-06-01,78.058275278435
1994-07-01,78.241292547111
1994-08-01,78.34212842869
1994-09-01,78.41461087937199
1994-10-01,78.445651862132
1994-11-01,78.380352144551
1994-12-01,78.490560277924
1995-01-01,78.569287017287
